Character,Chosen Tone,Review Status,Possible Source Tones,Readings,Pingshui Rhyme Group,Rhyme Group Source,Source Row Count,Notes,Chosen Ping-Ze,Source Ping-Ze,Preliminary Source
肴,平,"=IF(B3273="""",""Needs decision"",""Ready"")",平,haew (A),下平聲三肴,"Pingshui main list, Wikisource-derived DOCX",1,,"=IF(B3273="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B3273)),OR(ISNUMBER(SEARCH(""上"",B3273)),ISNUMBER(SEARCH(""去"",B3273)),ISNUMBER(SEARCH(""入"",B3273)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B3273)),""平"",""仄"")))","=IF(D3273="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D3273)),OR(ISNUMBER(SEARCH(""上"",D3273)),ISNUMBER(SEARCH(""去"",D3273)),ISNUMBER(SEARCH(""入"",D3273)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D3273)),""平"",""仄"")))",
肺,去,"=IF(B3274="""",""Needs decision"",""Ready"")",去,phjojH (C); phajH (C),去聲十一隊,"Pingshui main list, Wikisource-derived DOCX",2,,"=IF(B3274="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B3274)),OR(ISNUMBER(SEARCH(""上"",B3274)),ISNUMBER(SEARCH(""去"",B3274)),ISNUMBER(SEARCH(""入"",B3274)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B3274)),""平"",""仄"")))","=IF(D3274="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D3274)),OR(ISNUMBER(SEARCH(""上"",D3274)),ISNUMBER(SEARCH(""去"",D3274)),ISNUMBER(SEARCH(""入"",D3274)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D3274)),""平"",""仄"")))",
胃,去,"=IF(B3275="""",""Needs decision"",""Ready"")",去,hjw+jH (C),去聲五未,"Pingshui main list, Wikisource-derived DOCX",1,,"=IF(B3275="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B3275)),OR(ISNUMBER(SEARCH(""上"",B3275)),ISNUMBER(SEARCH(""去"",B3275)),ISNUMBER(SEARCH(""入"",B3275)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B3275)),""平"",""仄"")))","=IF(D3275="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D3275)),OR(ISNUMBER(SEARCH(""上"",D3275)),ISNUMBER(SEARCH(""去"",D3275)),ISNUMBER(SEARCH(""入"",D3275)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D3275)),""平"",""仄"")))",
胈,入,"=IF(B3276="""",""Needs decision"",""Ready"")",入,pat (D),,,1,,"=IF(B3276="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B3276)),OR(ISNUMBER(SEARCH(""上"",B3276)),ISNUMBER(SEARCH(""去"",B3276)),ISNUMBER(SEARCH(""入"",B3276)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B3276)),""平"",""仄"")))","=IF(D3276="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D3276)),OR(ISNUMBER(SEARCH(""上"",D3276)),ISNUMBER(SEARCH(""去"",D3276)),ISNUMBER(SEARCH(""入"",D3276)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D3276)),""平"",""仄"")))",
胉,入,"=IF(B3277="""",""Needs decision"",""Ready"")",入,phak (D),,,1,,"=IF(B3277="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B3277)),OR(ISNUMBER(SEARCH(""上"",B3277)),ISNUMBER(SEARCH(""去"",B3277)),ISNUMBER(SEARCH(""入"",B3277)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B3277)),""平"",""仄"")))","=IF(D3277="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D3277)),OR(ISNUMBER(SEARCH(""上"",D3277)),ISNUMBER(SEARCH(""去"",D3277)),ISNUMBER(SEARCH(""入"",D3277)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D3277)),""平"",""仄"")))",
背,去,"=IF(B3278="""",""Needs decision"",""Ready"")",去,bwojH (C); pwojH (C),去聲十一隊,"Pingshui main list, Wikisource-derived DOCX",2,,"=IF(B3278="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B3278)),OR(ISNUMBER(SEARCH(""上"",B3278)),ISNUMBER(SEARCH(""去"",B3278)),ISNUMBER(SEARCH(""入"",B3278)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B3278)),""平"",""仄"")))","=IF(D3278="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D3278)),OR(ISNUMBER(SEARCH(""上"",D3278)),ISNUMBER(SEARCH(""去"",D3278)),ISNUMBER(SEARCH(""入"",D3278)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D3278)),""平"",""仄"")))",
胎,平,"=IF(B3279="""",""Needs decision"",""Ready"")",平,thoj (A),上平聲十灰,"Pingshui main list, Wikisource-derived DOCX",1,,"=IF(B3279="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B3279)),OR(ISNUMBER(SEARCH(""上"",B3279)),ISNUMBER(SEARCH(""去"",B3279)),ISNUMBER(SEARCH(""入"",B3279)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B3279)),""平"",""仄"")))","=IF(D3279="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D3279)),OR(ISNUMBER(SEARCH(""上"",D3279)),ISNUMBER(SEARCH(""去"",D3279)),ISNUMBER(SEARCH(""入"",D3279)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D3279)),""平"",""仄"")))",
胑,平,"=IF(B3280="""",""Needs decision"",""Ready"")",平,tsye (A),,,1,,"=IF(B3280="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B3280)),OR(ISNUMBER(SEARCH(""上"",B3280)),ISNUMBER(SEARCH(""去"",B3280)),ISNUMBER(SEARCH(""入"",B3280)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B3280)),""平"",""仄"")))","=IF(D3280="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D3280)),OR(ISNUMBER(SEARCH(""上"",D3280)),ISNUMBER(SEARCH(""去"",D3280)),ISNUMBER(SEARCH(""入"",D3280)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D3280)),""平"",""仄"")))",
胙,去,"=IF(B3281="""",""Needs decision"",""Ready"")",去,dzuH (C),去聲七遇,"Pingshui main list, Wikisource-derived DOCX",1,,"=IF(B3281="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B3281)),OR(ISNUMBER(SEARCH(""上"",B3281)),ISNUMBER(SEARCH(""去"",B3281)),ISNUMBER(SEARCH(""入"",B3281)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B3281)),""平"",""仄"")))","=IF(D3281="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D3281)),OR(ISNUMBER(SEARCH(""上"",D3281)),ISNUMBER(SEARCH(""去"",D3281)),ISNUMBER(SEARCH(""入"",D3281)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D3281)),""平"",""仄"")))",
胝,平,"=IF(B3282="""",""Needs decision"",""Ready"")",平,trij [ʈi] (平),上平聲四支,"Pingshui main list, Wikisource-derived DOCX",1,Tang 300 gap; frequency 1; provisional from Xun Gong,"=IF(B3282="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B3282)),OR(ISNUMBER(SEARCH(""上"",B3282)),ISNUMBER(SEARCH(""去"",B3282)),ISNUMBER(SEARCH(""入"",B3282)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B3282)),""平"",""仄"")))","=IF(D3282="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D3282)),OR(ISNUMBER(SEARCH(""上"",D3282)),ISNUMBER(SEARCH(""去"",D3282)),ISNUMBER(SEARCH(""入"",D3282)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D3282)),""平"",""仄"")))","Xun Gong, Tang 300 gap fill"
胞,平,"=IF(B3283="""",""Needs decision"",""Ready"")",平,paew (A),下平聲三肴,"Pingshui main list, Wikisource-derived DOCX",1,,"=IF(B3283="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B3283)),OR(ISNUMBER(SEARCH(""上"",B3283)),ISNUMBER(SEARCH(""去"",B3283)),ISNUMBER(SEARCH(""入"",B3283)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B3283)),""平"",""仄"")))","=IF(D3283="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D3283)),OR(ISNUMBER(SEARCH(""上"",D3283)),ISNUMBER(SEARCH(""去"",D3283)),ISNUMBER(SEARCH(""入"",D3283)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D3283)),""平"",""仄"")))",
胠,入,"=IF(B3284="""",""Needs decision"",""Ready"")",入,khjaep (D),上平聲六魚; 去聲六御,"Pingshui main list, Wikisource-derived DOCX",1,,"=IF(B3284="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B3284)),OR(ISNUMBER(SEARCH(""上"",B3284)),ISNUMBER(SEARCH(""去"",B3284)),ISNUMBER(SEARCH(""入"",B3284)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B3284)),""平"",""仄"")))","=IF(D3284="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D3284)),OR(ISNUMBER(SEARCH(""上"",D3284)),ISNUMBER(SEARCH(""去"",D3284)),ISNUMBER(SEARCH(""入"",D3284)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D3284)),""平"",""仄"")))",
胡,平,"=IF(B3285="""",""Needs decision"",""Ready"")",平,hu (A),上平聲七虞,"Pingshui main list, Wikisource-derived DOCX",1,,"=IF(B3285="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B3285)),OR(ISNUMBER(SEARCH(""上"",B3285)),ISNUMBER(SEARCH(""去"",B3285)),ISNUMBER(SEARCH(""入"",B3285)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B3285)),""平"",""仄"")))","=IF(D3285="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D3285)),OR(ISNUMBER(SEARCH(""上"",D3285)),ISNUMBER(SEARCH(""去"",D3285)),ISNUMBER(SEARCH(""入"",D3285)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D3285)),""平"",""仄"")))",
胣,上,"=IF(B3286="""",""Needs decision"",""Ready"")",上,yeX (B),,,1,,"=IF(B3286="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B3286)),OR(ISNUMBER(SEARCH(""上"",B3286)),ISNUMBER(SEARCH(""去"",B3286)),ISNUMBER(SEARCH(""入"",B3286)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B3286)),""平"",""仄"")))","=IF(D3286="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D3286)),OR(ISNUMBER(SEARCH(""上"",D3286)),ISNUMBER(SEARCH(""去"",D3286)),ISNUMBER(SEARCH(""入"",D3286)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D3286)),""平"",""仄"")))",
胤,去,"=IF(B3287="""",""Needs decision"",""Ready"")",去,yinH (C),,,1,,"=IF(B3287="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B3287)),OR(ISNUMBER(SEARCH(""上"",B3287)),ISNUMBER(SEARCH(""去"",B3287)),ISNUMBER(SEARCH(""入"",B3287)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B3287)),""平"",""仄"")))","=IF(D3287="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D3287)),OR(ISNUMBER(SEARCH(""上"",D3287)),ISNUMBER(SEARCH(""去"",D3287)),ISNUMBER(SEARCH(""入"",D3287)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D3287)),""平"",""仄"")))",
胥,,"=IF(B3288="""",""Needs decision"",""Ready"")",平/上,sjo [sjə] (平); sjoX [sjəʔ] (上),上平聲六魚,"Pingshui main list, Wikisource-derived DOCX",2,Tang 300 gap; frequency 2; ambiguous in Xun Gong,"=IF(B3288="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B3288)),OR(ISNUMBER(SEARCH(""上"",B3288)),ISNUMBER(SEARCH(""去"",B3288)),ISNUMBER(SEARCH(""入"",B3288)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B3288)),""平"",""仄"")))","=IF(D3288="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D3288)),OR(ISNUMBER(SEARCH(""上"",D3288)),ISNUMBER(SEARCH(""去"",D3288)),ISNUMBER(SEARCH(""入"",D3288)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D3288)),""平"",""仄"")))","Xun Gong, Tang 300 gap fill"
胳,入,"=IF(B3289="""",""Needs decision"",""Ready"")",入,kak (D),,,1,,"=IF(B3289="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B3289)),OR(ISNUMBER(SEARCH(""上"",B3289)),ISNUMBER(SEARCH(""去"",B3289)),ISNUMBER(SEARCH(""入"",B3289)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B3289)),""平"",""仄"")))","=IF(D3289="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D3289)),OR(ISNUMBER(SEARCH(""上"",D3289)),ISNUMBER(SEARCH(""去"",D3289)),ISNUMBER(SEARCH(""入"",D3289)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D3289)),""平"",""仄"")))",
胷,平,"=IF(B3290="""",""Needs decision"",""Ready"")",平,xjowng [曉三C鍾平] xɨ̯oŋ,,,1,Targeted preliminary fill from Xun Gong; review if uncertain,"=IF(B3290="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B3290)),OR(ISNUMBER(SEARCH(""上"",B3290)),ISNUMBER(SEARCH(""去"",B3290)),ISNUMBER(SEARCH(""入"",B3290)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B3290)),""平"",""仄"")))","=IF(D3290="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D3290)),OR(ISNUMBER(SEARCH(""上"",D3290)),ISNUMBER(SEARCH(""去"",D3290)),ISNUMBER(SEARCH(""入"",D3290)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D3290)),""平"",""仄"")))",Xun Gong character-readings.csv
能,平,"=IF(B3291="""",""Needs decision"",""Ready"")",平,noj (A); nong (A),上平聲十灰; 下平聲十蒸,"Pingshui main list, Wikisource-derived DOCX",2,,"=IF(B3291="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B3291)),OR(ISNUMBER(SEARCH(""上"",B3291)),ISNUMBER(SEARCH(""去"",B3291)),ISNUMBER(SEARCH(""入"",B3291)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B3291)),""平"",""仄"")))","=IF(D3291="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D3291)),OR(ISNUMBER(SEARCH(""上"",D3291)),ISNUMBER(SEARCH(""去"",D3291)),ISNUMBER(SEARCH(""入"",D3291)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D3291)),""平"",""仄"")))",
脀,平,"=IF(B3292="""",""Needs decision"",""Ready"")",平,tsying (A),,,1,,"=IF(B3292="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B3292)),OR(ISNUMBER(SEARCH(""上"",B3292)),ISNUMBER(SEARCH(""去"",B3292)),ISNUMBER(SEARCH(""入"",B3292)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B3292)),""平"",""仄"")))","=IF(D3292="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D3292)),OR(ISNUMBER(SEARCH(""上"",D3292)),ISNUMBER(SEARCH(""去"",D3292)),ISNUMBER(SEARCH(""入"",D3292)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D3292)),""平"",""仄"")))",
脂,平,"=IF(B3293="""",""Needs decision"",""Ready"")",平,tsyij (A),上平聲四支,"Pingshui main list, Wikisource-derived DOCX",1,,"=IF(B3293="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B3293)),OR(ISNUMBER(SEARCH(""上"",B3293)),ISNUMBER(SEARCH(""去"",B3293)),ISNUMBER(SEARCH(""入"",B3293)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B3293)),""平"",""仄"")))","=IF(D3293="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D3293)),OR(ISNUMBER(SEARCH(""上"",D3293)),ISNUMBER(SEARCH(""去"",D3293)),ISNUMBER(SEARCH(""入"",D3293)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D3293)),""平"",""仄"")))",
脃,去,"=IF(B3294="""",""Needs decision"",""Ready"")",去,tshjwejH (C),,,1,,"=IF(B3294="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B3294)),OR(ISNUMBER(SEARCH(""上"",B3294)),ISNUMBER(SEARCH(""去"",B3294)),ISNUMBER(SEARCH(""入"",B3294)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B3294)),""平"",""仄"")))","=IF(D3294="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D3294)),OR(ISNUMBER(SEARCH(""上"",D3294)),ISNUMBER(SEARCH(""去"",D3294)),ISNUMBER(SEARCH(""入"",D3294)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D3294)),""平"",""仄"")))",
脅,入,"=IF(B3295="""",""Needs decision"",""Ready"")",入,xjaep (D),去聲二十九豔; 入聲十七洽,"Pingshui main list, Wikisource-derived DOCX",1,,"=IF(B3295="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B3295)),OR(ISNUMBER(SEARCH(""上"",B3295)),ISNUMBER(SEARCH(""去"",B3295)),ISNUMBER(SEARCH(""入"",B3295)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B3295)),""平"",""仄"")))","=IF(D3295="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D3295)),OR(ISNUMBER(SEARCH(""上"",D3295)),ISNUMBER(SEARCH(""去"",D3295)),ISNUMBER(SEARCH(""入"",D3295)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D3295)),""平"",""仄"")))",
脆,去,"=IF(B3296="""",""Needs decision"",""Ready"")",去,tshjwejH (C),去聲八霽,"Pingshui main list, Wikisource-derived DOCX",1,,"=IF(B3296="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B3296)),OR(ISNUMBER(SEARCH(""上"",B3296)),ISNUMBER(SEARCH(""去"",B3296)),ISNUMBER(SEARCH(""入"",B3296)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B3296)),""平"",""仄"")))","=IF(D3296="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D3296)),OR(ISNUMBER(SEARCH(""上"",D3296)),ISNUMBER(SEARCH(""去"",D3296)),ISNUMBER(SEARCH(""入"",D3296)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D3296)),""平"",""仄"")))",
脈,入,"=IF(B3297="""",""Needs decision"",""Ready"")",入,meak (D),,,1,,"=IF(B3297="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B3297)),OR(ISNUMBER(SEARCH(""上"",B3297)),ISNUMBER(SEARCH(""去"",B3297)),ISNUMBER(SEARCH(""入"",B3297)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B3297)),""平"",""仄"")))","=IF(D3297="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D3297)),OR(ISNUMBER(SEARCH(""上"",D3297)),ISNUMBER(SEARCH(""去"",D3297)),ISNUMBER(SEARCH(""入"",D3297)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D3297)),""平"",""仄"")))",
脉,入,"=IF(B3298="""",""Needs decision"",""Ready"")",入,meak (D),,,1,,"=IF(B3298="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B3298)),OR(ISNUMBER(SEARCH(""上"",B3298)),ISNUMBER(SEARCH(""去"",B3298)),ISNUMBER(SEARCH(""入"",B3298)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B3298)),""平"",""仄"")))","=IF(D3298="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D3298)),OR(ISNUMBER(SEARCH(""上"",D3298)),ISNUMBER(SEARCH(""去"",D3298)),ISNUMBER(SEARCH(""入"",D3298)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D3298)),""平"",""仄"")))",
脊,入,"=IF(B3299="""",""Needs decision"",""Ready"")",入,tsjek (D),入聲十一陌,"Pingshui main list, Wikisource-derived DOCX",1,,"=IF(B3299="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B3299)),OR(ISNUMBER(SEARCH(""上"",B3299)),ISNUMBER(SEARCH(""去"",B3299)),ISNUMBER(SEARCH(""入"",B3299)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B3299)),""平"",""仄"")))","=IF(D3299="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D3299)),OR(ISNUMBER(SEARCH(""上"",D3299)),ISNUMBER(SEARCH(""去"",D3299)),ISNUMBER(SEARCH(""入"",D3299)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D3299)),""平"",""仄"")))",
脚,入,"=IF(B3300="""",""Needs decision"",""Ready"")",入,kjak (D),,,1,,"=IF(B3300="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B3300)),OR(ISNUMBER(SEARCH(""上"",B3300)),ISNUMBER(SEARCH(""去"",B3300)),ISNUMBER(SEARCH(""入"",B3300)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B3300)),""平"",""仄"")))","=IF(D3300="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D3300)),OR(ISNUMBER(SEARCH(""上"",D3300)),ISNUMBER(SEARCH(""去"",D3300)),ISNUMBER(SEARCH(""入"",D3300)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D3300)),""平"",""仄"")))",
脛,去,"=IF(B3301="""",""Needs decision"",""Ready"")",去,hengH (C),上聲二十四迥; 去聲二十五徑,"Pingshui main list, Wikisource-derived DOCX",1,,"=IF(B3301="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B3301)),OR(ISNUMBER(SEARCH(""上"",B3301)),ISNUMBER(SEARCH(""去"",B3301)),ISNUMBER(SEARCH(""入"",B3301)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B3301)),""平"",""仄"")))","=IF(D3301="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D3301)),OR(ISNUMBER(SEARCH(""上"",D3301)),ISNUMBER(SEARCH(""去"",D3301)),ISNUMBER(SEARCH(""入"",D3301)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D3301)),""平"",""仄"")))",
脞,上,"=IF(B3302="""",""Needs decision"",""Ready"")",上,tshwaX (B),上聲二十哿,"Pingshui main list, Wikisource-derived DOCX",1,,"=IF(B3302="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B3302)),OR(ISNUMBER(SEARCH(""上"",B3302)),ISNUMBER(SEARCH(""去"",B3302)),ISNUMBER(SEARCH(""入"",B3302)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B3302)),""平"",""仄"")))","=IF(D3302="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D3302)),OR(ISNUMBER(SEARCH(""上"",D3302)),ISNUMBER(SEARCH(""去"",D3302)),ISNUMBER(SEARCH(""入"",D3302)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D3302)),""平"",""仄"")))",
脣,平,"=IF(B3303="""",""Needs decision"",""Ready"")",平,zywin (A),上平聲十一真,"Pingshui main list, Wikisource-derived DOCX",1,,"=IF(B3303="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B3303)),OR(ISNUMBER(SEARCH(""上"",B3303)),ISNUMBER(SEARCH(""去"",B3303)),ISNUMBER(SEARCH(""入"",B3303)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B3303)),""平"",""仄"")))","=IF(D3303="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D3303)),OR(ISNUMBER(SEARCH(""上"",D3303)),ISNUMBER(SEARCH(""去"",D3303)),ISNUMBER(SEARCH(""入"",D3303)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D3303)),""平"",""仄"")))",
脩,平,"=IF(B3304="""",""Needs decision"",""Ready"")",平,sjuw (A),下平聲十一尤,"Pingshui main list, Wikisource-derived DOCX",1,,"=IF(B3304="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B3304)),OR(ISNUMBER(SEARCH(""上"",B3304)),ISNUMBER(SEARCH(""去"",B3304)),ISNUMBER(SEARCH(""入"",B3304)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B3304)),""平"",""仄"")))","=IF(D3304="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D3304)),OR(ISNUMBER(SEARCH(""上"",D3304)),ISNUMBER(SEARCH(""去"",D3304)),ISNUMBER(SEARCH(""入"",D3304)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D3304)),""平"",""仄"")))",
脫,入,"=IF(B3305="""",""Needs decision"",""Ready"")",,,入聲七曷,"Pingshui main list, Wikisource-derived DOCX",,,"=IF(B3305="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B3305)),OR(ISNUMBER(SEARCH(""上"",B3305)),ISNUMBER(SEARCH(""去"",B3305)),ISNUMBER(SEARCH(""入"",B3305)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B3305)),""平"",""仄"")))","=IF(D3305="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D3305)),OR(ISNUMBER(SEARCH(""上"",D3305)),ISNUMBER(SEARCH(""去"",D3305)),ISNUMBER(SEARCH(""入"",D3305)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D3305)),""平"",""仄"")))",
脯,上,"=IF(B3306="""",""Needs decision"",""Ready"")",上,pjuX (B),上聲七麌,"Pingshui main list, Wikisource-derived DOCX",1,,"=IF(B3306="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B3306)),OR(ISNUMBER(SEARCH(""上"",B3306)),ISNUMBER(SEARCH(""去"",B3306)),ISNUMBER(SEARCH(""入"",B3306)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B3306)),""平"",""仄"")))","=IF(D3306="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D3306)),OR(ISNUMBER(SEARCH(""上"",D3306)),ISNUMBER(SEARCH(""去"",D3306)),ISNUMBER(SEARCH(""入"",D3306)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D3306)),""平"",""仄"")))",
脰,去,"=IF(B3307="""",""Needs decision"",""Ready"")",去,duwH (C),去聲二十六宥,"Pingshui main list, Wikisource-derived DOCX",1,,"=IF(B3307="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B3307)),OR(ISNUMBER(SEARCH(""上"",B3307)),ISNUMBER(SEARCH(""去"",B3307)),ISNUMBER(SEARCH(""入"",B3307)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B3307)),""平"",""仄"")))","=IF(D3307="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D3307)),OR(ISNUMBER(SEARCH(""上"",D3307)),ISNUMBER(SEARCH(""去"",D3307)),ISNUMBER(SEARCH(""入"",D3307)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D3307)),""平"",""仄"")))",
