Character,Chosen Tone,Review Status,Possible Source Tones,Readings,Pingshui Rhyme Group,Rhyme Group Source,Source Row Count,Notes,Chosen Ping-Ze,Source Ping-Ze,Preliminary Source
㵎,去,"=IF(B22="""",""Needs decision"",""Ready"")",去,,,,,Manual user correction/addition,"=IF(B22="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B22)),OR(ISNUMBER(SEARCH(""上"",B22)),ISNUMBER(SEARCH(""去"",B22)),ISNUMBER(SEARCH(""入"",B22)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B22)),""平"",""仄"")))","=IF(D22="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D22)),OR(ISNUMBER(SEARCH(""上"",D22)),ISNUMBER(SEARCH(""去"",D22)),ISNUMBER(SEARCH(""入"",D22)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D22)),""平"",""仄"")))",manual user correction
㷉,去,"=IF(B23="""",""Needs decision"",""Ready"")",去,'jw+jH (C),,,1,,"=IF(B23="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B23)),OR(ISNUMBER(SEARCH(""上"",B23)),ISNUMBER(SEARCH(""去"",B23)),ISNUMBER(SEARCH(""入"",B23)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B23)),""平"",""仄"")))","=IF(D23="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D23)),OR(ISNUMBER(SEARCH(""上"",D23)),ISNUMBER(SEARCH(""去"",D23)),ISNUMBER(SEARCH(""入"",D23)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D23)),""平"",""仄"")))",
㸐,平,"=IF(B24="""",""Needs decision"",""Ready"")",平,nyen (A),,,1,,"=IF(B24="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B24)),OR(ISNUMBER(SEARCH(""上"",B24)),ISNUMBER(SEARCH(""去"",B24)),ISNUMBER(SEARCH(""入"",B24)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B24)),""平"",""仄"")))","=IF(D24="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D24)),OR(ISNUMBER(SEARCH(""上"",D24)),ISNUMBER(SEARCH(""去"",D24)),ISNUMBER(SEARCH(""入"",D24)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D24)),""平"",""仄"")))",
㸒,平,"=IF(B25="""",""Needs decision"",""Ready"")",平,yim (A),,,1,,"=IF(B25="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B25)),OR(ISNUMBER(SEARCH(""上"",B25)),ISNUMBER(SEARCH(""去"",B25)),ISNUMBER(SEARCH(""入"",B25)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B25)),""平"",""仄"")))","=IF(D25="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D25)),OR(ISNUMBER(SEARCH(""上"",D25)),ISNUMBER(SEARCH(""去"",D25)),ISNUMBER(SEARCH(""入"",D25)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D25)),""平"",""仄"")))",
㼜,去,"=IF(B26="""",""Needs decision"",""Ready"")",去,'angH (C),,,1,,"=IF(B26="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B26)),OR(ISNUMBER(SEARCH(""上"",B26)),ISNUMBER(SEARCH(""去"",B26)),ISNUMBER(SEARCH(""入"",B26)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B26)),""平"",""仄"")))","=IF(D26="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D26)),OR(ISNUMBER(SEARCH(""上"",D26)),ISNUMBER(SEARCH(""去"",D26)),ISNUMBER(SEARCH(""入"",D26)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D26)),""平"",""仄"")))",
䀠,去,"=IF(B27="""",""Needs decision"",""Ready"")",去,kjuH (C),,,1,,"=IF(B27="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B27)),OR(ISNUMBER(SEARCH(""上"",B27)),ISNUMBER(SEARCH(""去"",B27)),ISNUMBER(SEARCH(""入"",B27)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B27)),""平"",""仄"")))","=IF(D27="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D27)),OR(ISNUMBER(SEARCH(""上"",D27)),ISNUMBER(SEARCH(""去"",D27)),ISNUMBER(SEARCH(""入"",D27)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D27)),""平"",""仄"")))",
䄟,去,"=IF(B28="""",""Needs decision"",""Ready"")",去,tshjwejH (C),,,1,,"=IF(B28="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B28)),OR(ISNUMBER(SEARCH(""上"",B28)),ISNUMBER(SEARCH(""去"",B28)),ISNUMBER(SEARCH(""入"",B28)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B28)),""平"",""仄"")))","=IF(D28="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D28)),OR(ISNUMBER(SEARCH(""上"",D28)),ISNUMBER(SEARCH(""去"",D28)),ISNUMBER(SEARCH(""入"",D28)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D28)),""平"",""仄"")))",
䆫,平,"=IF(B29="""",""Needs decision"",""Ready"")",平,tsrhaewng (A),,,1,,"=IF(B29="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B29)),OR(ISNUMBER(SEARCH(""上"",B29)),ISNUMBER(SEARCH(""去"",B29)),ISNUMBER(SEARCH(""入"",B29)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B29)),""平"",""仄"")))","=IF(D29="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D29)),OR(ISNUMBER(SEARCH(""上"",D29)),ISNUMBER(SEARCH(""去"",D29)),ISNUMBER(SEARCH(""入"",D29)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D29)),""平"",""仄"")))",
䍃,平,"=IF(B30="""",""Needs decision"",""Ready"")",平,yew (A),,,1,,"=IF(B30="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B30)),OR(ISNUMBER(SEARCH(""上"",B30)),ISNUMBER(SEARCH(""去"",B30)),ISNUMBER(SEARCH(""入"",B30)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B30)),""平"",""仄"")))","=IF(D30="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D30)),OR(ISNUMBER(SEARCH(""上"",D30)),ISNUMBER(SEARCH(""去"",D30)),ISNUMBER(SEARCH(""入"",D30)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D30)),""平"",""仄"")))",
䑣,平,"=IF(B31="""",""Needs decision"",""Ready"")",平,yuwng (A),,,1,,"=IF(B31="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B31)),OR(ISNUMBER(SEARCH(""上"",B31)),ISNUMBER(SEARCH(""去"",B31)),ISNUMBER(SEARCH(""入"",B31)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B31)),""平"",""仄"")))","=IF(D31="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D31)),OR(ISNUMBER(SEARCH(""上"",D31)),ISNUMBER(SEARCH(""去"",D31)),ISNUMBER(SEARCH(""入"",D31)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D31)),""平"",""仄"")))",
